Test,Traj1,Traj2,Traj3,Traj4,Traj5,Auto1,Auto2,Auto3,Auto4,Auto5
Test1,0.8143089171824547,0.8853554233405184,0.9058421941402146,0.8689742628110952,0.862058200956591,0.9103984640849873,0.8319806808323179,0.8595397795604501,0.9092271332608222,0.8235616252831592
Test2,0.846494235902838,0.910533017940097,0.9053886127725891,0.8711481230957729,0.8426561301400465,0.9093937811817682,0.8599431162057521,0.8712578384933287,0.9220646393108336,0.8378458766546212
Test3,0.8824389759649431,0.8830263843076039,0.9439430264878748,0.8547770796863812,0.8534605314643975,0.9258534694543845,0.867400855039023,0.8663456651961796,0.9390446739343795,0.8481620429228217
Test4,0.8600030607379063,0.8761784923776214,0.9252580303126382,0.8578361250612178,0.8497727683449036,0.9355895157905326,0.9097431143051935,0.8864006145195906,0.9396009668332267,0.8574545533959161
Test5,0.8815254743909141,0.8918629453996219,0.9508892011760715,0.8969169052936519,0.8638332289551096,0.9293194555166671,0.9155878396798692,0.8910584775998205,0.9265846712321113,0.8471964704163782
Test6,0.8869554335023031,0.9099245068644582,0.9360590314249692,0.9033849444226449,0.8725012124100394,0.9296970286100048,0.9174176613150572,0.909052767755055,0.944791654082026,0.8328845756163709
Test7,0.86505872018211,0.9212574440622192,0.9422842719640229,0.9002912494499932,0.8596843852709257,0.9450853291512693,0.8849715016548667,0.8979847982630377,0.9354394655452226,0.8674197083773743
Test8,0.8631472885216452,0.9190733267475891,0.9407745111885423,0.8745556359614898,0.8605024869404396,0.9517738829329226,0.8948108483714339,0.9136433223757641,0.947065924328203,0.8803201155226685
Test9,0.8659961050978467,0.8989067198088129,0.9383634470648908,0.8928689524324361,0.8575576368149747,0.9425715539018699,0.9061269343175324,0.9156482029791889,0.9325538805214232,0.8961484450217716
Test10,0.6824931905150203,0.8874920633611677,0.9373033067091741,0.8888528866198313,0.8710574075307078,0.9449689118517538,0.9142308132205121,0.9320974185160793,0.9543328114361088,0.9032451056954024
Test11,0.9129972782710356,0.8970036585588501,0.9532252874393433,0.9283157309696478,0.8875754411283238,0.9545291778519763,0.8982517282014854,0.9144146129663668,0.9102389875182221,0.9085892734438612
Test12,0.9072141270021313,0.8806258422818486,0.9525099448008642,0.9279917995134214,0.8786372299591726,0.9496163252303549,0.8871665017387523,0.9360745968103732,0.9011710273074347,0.9049993785104936
Test13,0.9135414094486404,0.8915883343908787,0.9534865551028295,0.9342997754511688,0.8663714354048423,0.9597327195979563,0.9010358792254596,0.9263305751233747,0.9298006069525362,0.9044348210853027
Test14,0.8972960648064907,0.8928766384154353,0.9578081325799741,0.934995923095195,0.8700289067775814,0.9586178675361604,0.8830253072641403,0.9377761749312234,0.957939612383522,0.9045106395649286
Test15,0.8871938905678193,0.8998644400194118,0.9462289265452234,0.9323143117173254,0.8862778608274117,0.9375444644556505,0.8850715492390674,0.9458452275586526,0.9493119254847568,0.9097623554012104
Test16,0.8881447299929791,0.839296463516397,0.948362841946949,0.8809946335591887,0.8371669692723025,0.9676398463699212,0.902746613145616,0.9391132964309753,0.9338731782028799,0.9080721199260412
Test17,0.9068259809181903,0.9220088411790555,0.9566476740288441,0.920371946567935,0.9044529600496506,0.9749179934728084,0.8965887236264867,0.9215883176629515,0.9522498362188623,0.9271284593598167
Test18,0.9008214565953311,0.9261555499360015,0.9589505997417811,0.876715777848131,0.8999360934381052,0.9723952012188872,0.8778571690796283,0.9392245947860398,0.9476603320394851,0.9103940813712601
Test19,0.8879414158271965,0.9310330584677405,0.9529347366958861,0.8769657636892371,0.8952937530864876,0.971044990202805,0.8944492890616362,0.9424506055056646,0.9394088645372933,0.9165607350337741
Test20,0.8829746352075589,0.9250443848901929,0.9539726012057353,0.9040510639772511,0.8786057056720289,0.9716219759881848,0.8898530543675862,0.9276554135810559,0.9419925632399773,0.9171411832371302
