Test,Traj1,Traj2,Traj3,Traj4,Auto1,Auto2,Auto3,Auto4
Test1,0.1376976508335514,0.10744735568393271,0.13774952801599094,0.12646395356376744,0.17402951510358985,0.14678715429258646,0.15231654448522605,0.15258955512120626
Test2,0.15560080376345195,0.11039801704487537,0.09585380777143138,0.10751694784242063,0.16184980442265579,0.16008856408349456,0.10620912717243434,0.22463664236278405
Test3,0.10787031537874438,0.1485024316190131,0.08970796186587968,0.0910979013898909,0.1478238671388784,0.14544287065370617,0.11816692809885038,0.17679662705942947
Test4,0.09491544728401467,0.11133255037674263,0.05924470687153663,0.0990733503997793,0.16199241336339523,0.10417729379054869,0.10599667297487966,0.19083479665516903
Test5,0.11940511940519181,0.11569657697926806,0.05213148606327018,0.09433549224036437,0.15003318439999797,0.1134592449445636,0.11015038856301043,0.21169152967573734
Test6,0.08818165030256918,0.12104422362337011,0.0915610982182629,0.08655833689946806,0.1220695169417233,0.10216518128959509,0.09607757148485278,0.17157966498998534
Test7,0.07450250916730851,0.11217819022620891,0.05735596878289158,0.08636072547533902,0.14255356778125483,0.10618745877208402,0.1022356111699305,0.164597548788303
Test8,0.10260156430792254,0.12012227629206883,0.05810313725437744,0.09008260524968258,0.13873910861832675,0.09485984115883093,0.09392745540570907,0.15157536913212677
Test9,0.08107376069836066,0.1321495316360259,0.053728637365646925,0.08750825858275649,0.13688398917042854,0.10068919587755021,0.09578531343835339,0.14991908731274156
Test10,0.08383655416277,0.12410560075716126,0.05699442972873589,0.08161949386127032,0.12555407114604974,0.09978189196902801,0.08867272358424676,0.15373852821905115
Test11,0.09501375976022673,0.10049165402015214,0.06036718312607388,0.08465533479212692,0.13309821435177513,0.08977515211373016,0.07371531106466325,0.147466404454297
Test12,0.0832428678635142,0.1070125236218007,0.04984881858460687,0.08451469418022914,0.11916122481546518,0.08782510231516742,0.0984499520460671,0.15026248412351673
Test13,0.09255057955212567,0.12323743697492437,0.0746854167389707,0.0891355549593488,0.127007900777915,0.08849487873482835,0.10327563190724359,0.13797092192895163
Test14,0.07462045245062718,0.101064744874395,0.059125030253533516,0.07984895180272594,0.1272073299621066,0.07343925606940173,0.10803807085741109,0.12142944072860094
Test15,0.07841571741446372,0.09729171586306269,0.06049920120853944,0.08811294389031245,0.13586788133016203,0.09173579514971444,0.10058617314085715,0.11094026024467543
Test16,0.07399989065233677,0.10861869693594822,0.054004287642227575,0.094314058834858,0.13007038228584905,0.08680348043454304,0.08573347853346908,0.10871650452131755
Test17,0.07700392396301747,0.11992576145840309,0.052500126782113125,0.07649231626751533,0.1216238295616533,0.09140358553010514,0.11105108204171502,0.1060470970153153
Test18,0.07735004899114427,0.08283027289172874,0.05718253289984203,0.0890263693002548,0.11634368066200233,0.07988822314849678,0.09788345681887269,0.10737986628099212
Test19,0.08047344186841031,0.08550184087276144,0.07737981214891483,0.07966538919157631,0.1255182311385935,0.08825876945399892,0.09376740750830381,0.10416448089029065
Test20,0.08185497558846415,0.0770696640242139,0.08268486258498864,0.08190328626026537,0.125428451056272,0.0790636662223443,0.07753230069594895,0.10101264381817757
Test21,0.06964876216399346,0.0801857928593166,0.060528561745189495,0.08832166955303328,0.12310660984969088,0.09907989606781846,0.09972368340433348,0.10366369763332065
Test22,0.08034820773617633,0.0861982439214172,0.06566098284395232,0.07409205193620451,0.1255724047411876,0.08958725196194003,0.09220269760748197,0.09258491936727246
Test23,0.0742322381185814,0.09161159449097017,0.061068359175893955,0.07781364291026714,0.10229813655079477,0.10699697986365002,0.09140562339704275,0.11446098331061937
Test24,0.07645769033260195,0.08226434505315096,0.0739573951662444,0.0717536765599354,0.11342821072050617,0.08365666351697477,0.08620792014496075,0.10587300346970625
Test25,0.07226966807480854,0.07784992481456283,0.06934714491326427,0.08097091193689059,0.09887751003143284,0.06856276726591491,0.09172463506581276,0.10566640522087808
