Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,,
1,0,0.4860652,1.542658,-0.04926319,0.540723,-0.3488356,0.1950094,-0.7402052,,0.21
1,0,0.4860652,1.542658,-0.04926319,0.540723,-0.3488356,0.1950094,-0.7402052,,
1,0.01111111,0.4860325,1.542124,-0.04910273,0.5408897,-0.3514567,0.1929013,-0.7393954,,
1,0.02222222,0.4863513,1.540971,-0.0490252,0.5419087,-0.3539481,0.1907048,-0.7380293,,
1,0.03333334,0.4861589,1.539944,-0.04864398,0.542561,-0.358549,0.1920276,-0.7349799,,
1,0.04444445,0.4867247,1.538434,-0.0486802,0.5429699,-0.3590645,0.1895285,-0.7350751,,
1,0.05555556,0.4868812,1.536628,-0.04838151,0.5431314,-0.3613443,0.1898335,-0.7337587,,
1,0.06666667,0.4873822,1.53473,-0.04846497,0.5428027,-0.3632512,0.1908007,-0.7328088,,
1,0.07777778,0.4875788,1.532885,-0.04852844,0.5423019,-0.3648603,0.1919882,-0.7320698,,
1,0.08888889,0.4879176,1.530344,-0.048475,0.5416815,-0.3673469,0.1936901,-0.7308362,,
1,0.1,0.4885684,1.527441,-0.04857212,0.540927,-0.3705287,0.1953267,-0.7293517,,
1,0.1111111,0.4891816,1.524042,-0.04819233,0.5405701,-0.3741558,0.1967661,-0.7273751,,
1,0.1222222,0.4896185,1.520838,-0.04783798,0.5405407,-0.3779173,0.1979435,-0.7251294,,
1,0.1333333,0.4901208,1.51662,-0.0469326,0.5410984,-0.3824555,0.19951,-0.7218975,,
1,0.1444445,0.4903803,1.512415,-0.04635049,0.5413771,-0.386095,0.2022532,-0.718982,,
1,0.1555556,0.4908313,1.508057,-0.0461212,0.5409036,-0.3895755,0.2058801,-0.716427,,
1,0.1666667,0.4911996,1.503127,-0.04595441,0.5392808,-0.3924664,0.2111676,-0.714531,,
1,0.1777778,0.4914534,1.49763,-0.04584606,0.5369303,-0.3961805,0.216651,-0.7126073,,
1,0.1888889,0.4916956,1.49242,-0.04566098,0.5343078,-0.4000603,0.2213304,-0.710971,,
1,0.2,0.4921158,1.487089,-0.04572634,0.5317903,-0.4041663,0.2261725,-0.7090096,,
1,0.2111111,0.4921255,1.481191,-0.04513651,0.5287934,-0.4083035,0.2319971,-0.7069958,,
1,0.2222222,0.4911785,1.474271,-0.04478044,0.5253842,-0.4124978,0.239872,-0.7044703,,
1,0.2333333,0.4909428,1.468404,-0.04428288,0.5229944,-0.4162105,0.2455531,-0.7021034,,
1,0.2444444,0.4908668,1.461395,-0.04385757,0.5203018,-0.4200242,0.2522562,-0.6994517,,
1,0.2555556,0.4906423,1.454219,-0.04317295,0.5175374,-0.4237795,0.2587169,-0.6968727,,
1,0.2666667,0.4901637,1.447188,-0.04224276,0.5145248,-0.4278808,0.2650378,-0.694217,,
1,0.2777778,0.4897284,1.439698,-0.04133004,0.5107117,-0.4317761,0.2722722,-0.6918171,,
1,0.2888889,0.4887054,1.43225,-0.04016719,0.5061389,-0.4359832,0.2799205,-0.6894829,,
1,0.3,0.4875559,1.424556,-0.03883138,0.501311,-0.440383,0.2878076,-0.6869621,,
1,0.3111111,0.4862351,1.416912,-0.03768843,0.4958795,-0.4444307,0.2960106,-0.6848084,,
1,0.3222222,0.4845951,1.408975,-0.03616263,0.4896311,-0.4486121,0.3040348,-0.6830605,,
1,0.3333333,0.483306,1.40128,-0.03503182,0.4833207,-0.452641,0.3112534,-0.681644,,
1,0.3444445,0.4816048,1.393095,-0.03332654,0.4758916,-0.457424,0.3169805,-0.6810387,,
1,0.3555556,0.479863,1.3845,-0.03143083,0.4681037,-0.4628513,0.3216729,-0.6805689,,
1,0.3666667,0.4775056,1.37641,-0.02953872,0.4600538,-0.4682781,0.327049,-0.679783,,
1,0.3777778,0.4755894,1.368375,-0.02742239,0.4522367,-0.4735161,0.332781,-0.6786172,,
1,0.3888889,0.4719931,1.360477,-0.02477734,0.4433686,-0.4795251,0.3397291,-0.6768043,,
1,0.4,0.46911,1.35264,-0.02255552,0.4346992,-0.4852731,0.3464716,-0.6749104,,
