Trial,time,PositionX,PositionY,PositionZ,RotationQX,RotationQY,RotationQZ,RotationQW,,
1,0,0.5115671,1.549406,0.004187107,0.3782223,-0.4508234,0.3046434,-0.7489316,,0.21
1,0,0.5115671,1.549406,0.004187107,0.3782223,-0.4508234,0.3046434,-0.7489316,,
1,0.01111111,0.5101538,1.551011,0.006033808,0.3734156,-0.4529295,0.2984273,-0.7525668,,
1,0.02222222,0.5086942,1.55323,0.008017808,0.3695804,-0.4540808,0.29213,-0.7562281,,
1,0.03333334,0.5067826,1.556168,0.01052245,0.3646802,-0.4572038,0.2872915,-0.7585754,,
1,0.04444445,0.5048043,1.559402,0.01251793,0.3597765,-0.4584238,0.2852556,-0.7609453,,
1,0.05555556,0.5029011,1.562946,0.01479677,0.3537714,-0.4592643,0.2829717,-0.7641003,,
1,0.06666667,0.5007137,1.567151,0.01675653,0.3470217,-0.4583822,0.2820066,-0.7680715,,
1,0.07777778,0.4984827,1.57142,0.01872374,0.3404507,-0.4563466,0.2799227,-0.7729712,,
1,0.08888889,0.4962114,1.575589,0.0209296,0.3353681,-0.4536151,0.275833,-0.778253,,
1,0.1,0.4936838,1.580022,0.02321969,0.3317768,-0.4504234,0.2700078,-0.7836701,,
1,0.1111111,0.4910322,1.584348,0.02570692,0.3286682,-0.4480391,0.2640651,-0.7883576,,
1,0.1222222,0.4880418,1.589187,0.02828656,0.3273704,-0.4452138,0.2561436,-0.7930976,,
1,0.1333333,0.4847823,1.594253,0.03084835,0.3264573,-0.4420377,0.2485985,-0.7976384,,
1,0.1444445,0.4817209,1.599332,0.03317727,0.3258022,-0.4383359,0.2411622,-0.802219,,
1,0.1555556,0.4783536,1.604738,0.03538106,0.3265575,-0.4326956,0.233338,-0.807272,,
1,0.1666667,0.47496,1.610419,0.03735564,0.3277951,-0.4258813,0.225827,-0.8125132,,
1,0.1777778,0.4715041,1.616868,0.03855008,0.328572,-0.4177074,0.2185913,-0.8184001,,
1,0.1888889,0.4681047,1.623294,0.0400066,0.3284004,-0.4105703,0.2118142,-0.8238446,,
1,0.2,0.4681047,1.623294,0.0400066,0.3284004,-0.4105703,0.2118142,-0.8238446,,
1,0.2111111,0.4610155,1.636715,0.04211941,0.3305224,-0.3963556,0.1965304,-0.8336864,,
1,0.2222222,0.4570025,1.643969,0.04311183,0.3351875,-0.3891108,0.186501,-0.8375317,,
1,0.2333333,0.4526935,1.65058,0.0441355,0.3412669,-0.3832036,0.1772099,-0.8398147,,
1,0.2444444,0.4485401,1.657809,0.0445465,0.3477569,-0.3770005,0.1682217,-0.841806,,
1,0.2555556,0.4445667,1.665177,0.04488719,0.3534779,-0.370492,0.15956,-0.8439962,,
1,0.2666667,0.4402886,1.672773,0.04461332,0.3592921,-0.3637916,0.1512368,-0.8459859,,
1,0.2777778,0.4357021,1.681394,0.04333514,0.3653371,-0.3564065,0.1428329,-0.8479988,,
1,0.2888889,0.432028,1.688518,0.04243496,0.3699505,-0.3503187,0.1355809,-0.8497242,,
1,0.3,0.4279949,1.69646,0.04112253,0.3751662,-0.3438298,0.1275316,-0.8513324,,
1,0.3111111,0.4236783,1.704249,0.03930195,0.3813468,-0.3378017,0.1192028,-0.8522062,,
1,0.3222222,0.4190965,1.711888,0.03698345,0.3894212,-0.3329035,0.1104643,-0.8516597,,
1,0.3333333,0.4147713,1.719645,0.03490727,0.3974122,-0.3270546,0.1014895,-0.8513511,,
1,0.3444445,0.4106708,1.726541,0.032524,0.406841,-0.3216771,0.09283701,-0.8499327,,
1,0.3555556,0.4058221,1.73385,0.03054586,0.4162601,-0.315667,0.08390646,-0.8485526,,
1,0.3666667,0.4019307,1.740429,0.02745577,0.4270939,-0.3090234,0.07548015,-0.8464031,,
1,0.3777778,0.397203,1.747514,0.02402597,0.4384207,-0.3023984,0.06681587,-0.8437288,,
1,0.3888889,0.3936784,1.753269,0.02048485,0.4476593,-0.2967777,0.06056243,-0.841342,,
1,0.4,0.3898901,1.759746,0.0161851,0.4569653,-0.2910957,0.05378915,-0.8387805,,
1,0.4111111,0.3857006,1.765652,0.01201537,0.466167,-0.2857568,0.04671086,-0.8359721,,
1,0.4222222,0.382276,1.771195,0.007226147,0.4756859,-0.2806258,0.03956763,-0.8327102,,
1,0.4333333,0.382276,1.771195,0.007226147,0.4756859,-0.2806258,0.03956763,-0.8327102,,
1,0.4444444,0.3751989,1.78066,-0.00256522,0.4965452,-0.2704058,0.02541462,-0.8244257,,
1,0.4555556,0.3719283,1.785314,-0.007670514,0.5076908,-0.2654444,0.01890232,-0.8194096,,
1,0.4666667,0.369107,1.788479,-0.01314344,0.5203726,-0.2602252,0.01304142,-0.8132189,,
1,0.4777778,0.3666668,1.791643,-0.01924747,0.5328408,-0.2542661,0.00837554,-0.8070683,,
1,0.4888889,0.3666668,1.791643,-0.01924747,0.5328408,-0.2542661,0.00837554,-0.8070683,,
1,0.5,0.3621629,1.796301,-0.03186984,0.5571942,-0.2421451,0.002181008,-0.7942894,,
1,0.5111111,0.3605493,1.797544,-0.03881523,0.5694025,-0.2358993,0.000781551,-0.7874845,,
1,0.5222223,0.3595387,1.797929,-0.04591489,0.5820042,-0.2294987,0.000395581,-0.7801291,,
1,0.5333334,0.3588372,1.798528,-0.05320453,0.5948766,-0.2224145,-1.94E-05,-0.7724335,,
1,0.5444446,0.3598137,1.796393,-0.06053982,0.6109207,-0.2134419,0.000477135,-0.7623767,,
1,0.5555557,0.3603547,1.795081,-0.06796366,0.6269259,-0.2047637,0.000148982,-0.7516886,,
1,0.5666668,0.361864,1.791937,-0.07479737,0.6446978,-0.1963581,0.001622587,-0.7387866,,
1,0.577778,0.3637708,1.788264,-0.0817842,0.6636129,-0.1891771,0.004846752,-0.7237448,,
1,0.5888891,0.3655936,1.7844,-0.08866699,0.6821923,-0.182849,0.009125054,-0.7078819,,
1,0.6000003,0.3675091,1.778319,-0.09522875,0.7003201,-0.1813211,0.01971224,-0.6901346,,
1,0.6111114,0.3699502,1.772224,-0.1022094,-0.7178156,0.1775484,-0.03110582,0.6724951,,
1,0.6222225,0.3725884,1.76633,-0.1085119,-0.733495,0.1731928,-0.04217607,0.6559044,,
1,0.6333337,0.3759981,1.758864,-0.1151006,-0.74889,0.1676043,-0.05712643,0.6385992,,
1,0.6444448,0.3800165,1.750551,-0.1209797,-0.7641758,0.1623816,-0.07413712,0.6198155,,
1,0.655556,0.3800165,1.750551,-0.1209797,-0.7641758,0.1623816,-0.07413712,0.6198155,,
1,0.6666671,0.3882569,1.733634,-0.1306023,-0.7943378,0.1535326,-0.1094687,0.5774702,,
1,0.6777782,0.3930705,1.724203,-0.1331278,-0.8092529,0.1488035,-0.1311841,0.5529539,,
1,0.6888894,0.3976641,1.715505,-0.1351989,-0.8230469,0.1438571,-0.1525894,0.5278404,,
1,0.7000005,0.4024787,1.706896,-0.1352122,-0.8354553,0.1398332,-0.1772765,0.5010332,,
